word,is_legal
right,1
good,1
little,1
big,1
first,1
ready,1
red,1
next,1
many,1
last,1
new,1
green,1
long,1
blue,1
great,1
old,1
hard,1
real,1
different,1
hot,1
bad,1
yellow,1
enough,1
close,1
orange,1
happy,1
whole,1
cold,1
clean,1
white,1
favorite,1
second,1
wrong,1
cool,1
small,1
brown,1
fine,1
black,1
interested,1
high,1
pink,1
round,1
interesting,1
full,1
soft,1
special,1
quick,1
poor,1
purple,1
warm,1
dry,1
fat,1
easy,1
sweet,1
alone,1
able,1
sick,1
tiny,1
heavy,1
strong,1
present,1
loud,1
early,1
dark,1
tall,1
late,1
short,1
smart,1
crazy,1
slow,1
glad,1
third,1
bright,1
huge,1
flat,1
friendly,1
clear,1
extra,1
comfortable,1
plain,1
gray,1
confused,1
polar,1
