word,is_legal
go,1
see,1
look,1
get,1
put,1
let,1
come,1
say,1
tell,1
play,1
eat,1
make,1
take,1
give,1
sit,1
turn,1
read,1
try,1
wait,1
help,1
find,1
show,1
watch,1
hold,1
talk,1
open,1
hear,1
use,1
stop,1
drink,1
pick,1
keep,1
bring,1
push,1
leave,1
call,1
feel,1
stay,1
move,1
write,1
ask,1
pull,1
hurt,1
start,1
fall,1
walk,1
cut,1
sleep,1
finish,1
touch,1
stand,1
draw,1
sing,1
wear,1
ride,1
hit,1
fit,1
live,1
run,1
feed,1
catch,1
build,1
break,1
blow,1
count,1
change,1
drive,1
roll,1
fly,1
pop,1
understand,1
mind,1
learn,1
forget,1
grow,1
lay,1
visit,1
cover,1
hide,1
carry,1
climb,1
seem,1
drop,1
reach,1
wake,1
spill,1
kick,1
press,1
save,1
meet,1
lose,1
beat,1
lie,1
cross,1
notice,1
chase,1
decide,1
sell,1
treat,1
bend,1
