,total-frequency,saycam-frequency,wiki-frequency,ellie-frequency,sarah-frequency,childes-frequency,CD,NN,NNS,NNP,NNPS,VB,VBD,VBG,VBN,VBP,VBZ,DT,RB,.,PRP,UH,WRB,JJ,IN,TO,RP,NFP,EX,",",PRP$,MD,JJR,RBR,CC,WDT,:,HYPH,JJS,``,'',XX,WP,PDT,POS,LS,FW,ADD,SYM,-LRB-,WP$,RBS,-RRB-,AFX,$,is_excluded
.,1008630,16676,10884,50355,24751,905964,0,1,0,80,0,0,0,0,0,0,0,0,0,102584,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
you,357316,9386,42,8549,9530,329809,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
the,246318,5950,16455,7049,5489,211375,0,3,0,4,0,0,0,0,0,0,0,34935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
it,188165,4542,993,6178,4448,172004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
that,171479,3821,1755,4796,4420,156687,0,0,0,0,0,0,0,0,0,0,0,11827,79,0,0,0,0,0,1738,0,0,0,0,0,0,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
to,170877,4628,4922,4374,3336,153617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4750,12510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
a,167662,4709,4586,4192,4302,149873,0,52,0,8,0,0,0,0,0,0,0,17685,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,True
i,164547,3051,143,4035,3634,153684,0,19,0,23,0,0,0,0,0,0,0,0,0,0,10820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
what,153988,1154,85,3165,5465,144119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,9272,0,0,0,0,0,0,0,0,0,0,0,0,True
do,135766,2876,72,3182,3733,125903,0,8,0,0,0,3560,0,0,0,6295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
and,122143,4007,6554,2833,2287,106462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
is,97107,2908,2191,2862,1942,87204,0,0,1,0,0,0,0,0,0,0,9881,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
in,75762,1684,6131,2282,1514,64151,0,2,0,0,0,0,0,0,0,0,0,0,763,0,0,0,0,1,10300,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
this,72571,1437,707,1544,1428,67455,0,0,0,0,0,0,0,0,0,0,0,5116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
oh,71105,1281,4,3396,1989,64435,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
he,68996,653,812,763,1140,65628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
we,65050,3312,73,3125,674,57866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
can,64752,1841,323,1940,1135,59513,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
on,62679,1806,1487,2077,1361,55948,0,9,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,1,5124,0,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
of,60084,1164,8360,1234,1061,48265,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,11660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
there,58022,2981,271,1865,1049,51856,0,0,0,0,0,0,0,0,0,0,0,0,3252,0,0,0,0,0,0,0,0,0,2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
no,54258,670,199,2152,1613,49624,0,4,0,0,0,0,0,0,0,0,0,681,91,0,0,3858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
your,54063,1647,16,1195,1842,49363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
want,53553,2852,9,559,853,49280,0,1,0,0,0,1979,0,0,0,2293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
have,53310,1603,562,1377,1204,48564,0,0,0,0,0,2258,0,0,0,2488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
like,51213,683,134,777,1034,48585,0,0,0,0,0,724,0,0,0,371,0,0,0,0,0,140,0,29,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
here,50246,1174,16,793,1315,46948,0,1,0,0,0,0,0,0,0,0,0,0,3297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
are,49358,2087,1048,1347,903,43973,0,0,0,0,0,0,0,0,0,5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
one,46668,1263,462,2005,1154,41784,2745,1985,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
going,46108,733,18,1489,1153,42715,0,2,0,0,0,0,0,3391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
go,44313,1954,30,1787,992,39550,0,38,0,0,0,3314,0,0,1,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
did,43584,412,108,1133,1415,40516,0,0,0,0,0,0,3066,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
see,41957,1070,67,682,986,39152,0,14,0,4,0,2405,0,0,0,374,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
